,stockNumber,year,make,model,body,trim,features,exteriorColor,vehicleSize,types
10,21514500,2016,Infiniti,QX80,4D Sport Utility,,"['AM/FM Stereo', 'Power Mirrors', '4WD/AWD', 'Rear View Camera', 'Overhead Airbags', 'Signature', 'Automated Cruise Control', 'Leather Seats', 'Auxiliary Audio Input', 'Air Conditioning', 'Full Roof Rack', 'Memory Seat(s)', 'Rear Defroster', 'Alloy Wheels', '20 Inch Plus Wheels', 'Parking Sensors', 'Satellite Radio Ready', 'Power Hatch/Deck Lid', 'ABS Brakes', 'Bluetooth Technology', 'Power Folding Third Row', 'Sunroof(s)', 'Front Seat Heaters', 'Running Boards', 'Blind Spot Monitor', 'Smart Key', 'Power Seat(s)', 'Automatic Transmission', 'CD Audio', 'Tow Hitch', 'Rear Air Conditioning', 'Navigation System', 'Side Airbags', 'Remote Start', 'Power Windows', 'Heated Steering Wheel', 'Traction Control', 'Power Locks', 'Third Row Seat', 'SiriusXM Trial Available', 'Lane Departure Warning', 'Premium Sound']",Black,Full-size,['Sport Utilities']
11,21433343,2018,Nissan,Altima,4D Sedan,S,"['Power Locks', 'Auxiliary Audio Input', 'Cruise Control', 'Power Windows', 'Air Conditioning', 'Automatic Transmission', 'ABS Brakes', 'Cloth Seats', 'AM/FM Stereo', 'Rear Defroster', 'Bluetooth Technology', 'Remote Start', 'Rear View Camera', 'Power Mirrors', 'Power Seat(s)', 'Traction Control', 'Smart Key', 'CD Audio', 'Satellite Radio Ready', 'Overhead Airbags', 'Side Airbags', 'Convenience Package']",Red,Mid-size,['Sedans']
12,21433864,2019,Jeep,Compass,4D Sport Utility,Limited,"['Power Locks', 'AM/FM Stereo', 'Rear Defroster', 'Power Windows', 'ABS Brakes', 'Leather Seats', 'Power Seat(s)', 'Cruise Control', 'Tow Hitch', 'Side Airbags', 'Alloy Wheels', 'Heated Steering Wheel', 'Front Seat Heaters', 'Auxiliary Audio Input', 'Smart Key', 'Satellite Radio Ready', 'Remote Start', 'Rear View Camera', 'Bluetooth Technology', 'Power Mirrors', 'Traction Control', 'Overhead Airbags', 'Air Conditioning', 'Automatic Transmission', '4WD/AWD', 'SiriusXM Trial Available']",Gray,Compact,"['Crossovers', 'Sport Utilities']"
13,21100964,2020,Ram,1500,4D Crew Cab,Limited,"['SiriusXM Trial Available', 'Power Locks', 'Power Windows', 'Panoramic Sunroof', 'Heated Steering Wheel', 'Running Boards', '20 Inch Plus Wheels', '4WD/AWD', 'Memory Seat(s)', 'ABS Brakes', 'Auxiliary Audio Input', 'Navigation System', 'Rear Defroster', 'Rear A/C Seat(s)', 'Automated Parking', 'Automatic Transmission', 'Blind Spot Monitor', 'Leather Seats', 'Apple CarPlay', 'Side Airbags', 'Rear View Camera', 'A/C Seat(s)', 'Traction Control', 'Rear Seat Heaters', 'Automated Cruise Control', 'Bed Liner', 'Tow Hitch', 'Front Seat Heaters', 'Adjustable Suspension', 'Lane Departure Warning', 'Alloy Wheels', 'Power Seat(s)', 'Remote Start', 'Air Conditioning', 'Power Mirrors', 'Overhead Airbags', 'AM/FM Stereo', 'Smart Key', 'Satellite Radio Ready', 'Parking Sensors', 'Android Auto', 'Bluetooth Technology', 'Premium Sound', 'Sunroof(s)']",White,,['Pickup Trucks']
14,21339361,2018,Mercedes-Benz,GLE350,4D Sport Utility,,"['CD Audio', 'Alloy Wheels', 'Memory Seat(s)', 'Power Locks', 'Air Conditioning', 'Automatic Transmission', 'Front Seat Heaters', 'Lane Departure Warning', 'Power Mirrors', 'Bluetooth Technology', 'Side Airbags', 'Rear Defroster', 'Power Windows', 'Overhead Airbags', 'ABS Brakes', 'Power Hatch/Deck Lid', 'Auxiliary Audio Input', 'Rear View Camera', 'Cruise Control', 'SiriusXM Trial Available', 'Running Boards', 'Sunroof(s)', 'AM/FM Stereo', 'Power Seat(s)', 'Traction Control', 'Navigation System', 'Leatherette Seats']",Black,Full-size,"['Luxury Vehicles', 'Sport Utilities']"
15,21513630,2018,Chevrolet,Trax,4D Sport Utility,LT,"['Auxiliary Audio Input', 'Air Conditioning', 'Leatherette & Cloth', 'Power Windows', 'ABS Brakes', 'Traction Control', 'Power Mirrors', 'Smart Key', 'Alloy Wheels', 'Cruise Control', 'Satellite Radio Ready', 'Automatic Transmission', 'Turbo Charged Engine', 'Rear Defroster', 'Power Seat(s)', 'Remote Start', 'Side Airbags', 'Overhead Airbags', 'Bluetooth Technology', 'Apple CarPlay', 'Rear View Camera', 'Android Auto', 'Power Locks', 'AM/FM Stereo', 'SiriusXM Trial Available']",White,,"['Crossovers', 'Sport Utilities']"
16,21293695,2017,Lexus,RX 350,4D Sport Utility,,"['Power Windows', 'Sunroof(s)', 'Automatic Transmission', 'Alloy Wheels', 'CD Audio', 'Navigation System', 'Automated Cruise Control', 'Heated Steering Wheel', 'Leather Seats', 'Parking Sensors', 'Memory Seat(s)', 'Power Mirrors', 'A/C Seat(s)', 'Air Conditioning', 'Satellite Radio Ready', 'Rear View Camera', 'Power Hatch/Deck Lid', 'Bluetooth Technology', 'Overhead Airbags', '20 Inch Plus Wheels', 'Side Airbags', 'Smart Key', 'Rear Defroster', 'Blind Spot Monitor', 'Traction Control', 'Lane Departure Warning', 'AM/FM Stereo', 'Power Seat(s)', 'Front Seat Heaters', 'ABS Brakes', 'Premium Package', 'Power Locks', 'Auxiliary Audio Input', 'SiriusXM Trial Available']",Silver,Mid-size,"['Crossovers', 'Luxury Vehicles', 'Sport Utilities']"
17,21652076,2020,Toyota,Tacoma,4D Crew Cab,TRD Off Road,"['Power Locks', 'AM/FM Stereo', 'Automated Cruise Control', 'ABS Brakes', 'Technology Package', 'Automatic Transmission', 'Power Mirrors', '4WD/AWD', 'Overhead Airbags', 'Cloth Seats', 'Satellite Radio Ready', 'Parking Sensors', 'Auxiliary Audio Input', 'Side Airbags', 'Blind Spot Monitor', 'Tow Hitch', 'Power Windows', 'Lane Departure Warning', 'Smart Key', 'Air Conditioning', 'Apple CarPlay', 'Bluetooth Technology', 'Rear View Camera', 'Traction Control', 'Android Auto', 'Alloy Wheels', 'SiriusXM Trial Available']",Red,Mid-size,['Pickup Trucks']
18,21489182,2014,Lexus,IS 250,4D Sedan,,"['AM/FM Stereo', 'Rear Defroster', 'Power Mirrors', 'Front Seat Heaters', 'Cruise Control', 'Auxiliary Audio Input', 'Power Seat(s)', 'Air Conditioning', 'Premium Package', 'Automatic Transmission', 'A/C Seat(s)', 'Overhead Airbags', 'ABS Brakes', 'Traction Control', 'Satellite Radio Ready', 'CD Audio', 'Power Windows', 'Rear View Camera', 'Side Airbags', 'Smart Key', 'Bluetooth Technology', 'Navigation System', 'Blind Spot Monitor', 'Alloy Wheels', 'Sunroof(s)', 'Leatherette Seats', 'Power Locks', 'SiriusXM Trial Available']",Gray,Mid-size,"['Luxury Vehicles', 'Sedans']"
19,21294794,2016,GMC,Yukon,4D Sport Utility,Denali,"['Power Locks', 'AM/FM Stereo', 'Rear Air Conditioning', 'Automatic Transmission', 'Power Seat(s)', 'Leather Seats', 'Third Row Seat', 'Rear Seat Heaters', 'Front Seat Heaters', 'Navigation System', 'Power Mirrors', 'Power Windows', 'Cruise Control', '4WD/AWD', 'Alloy Wheels', 'Tow Hitch', 'Quad Seats', 'Traction Control', 'ABS Brakes', 'Blu-ray Video System', 'Remote Start', 'Smart Key', 'A/C Seat(s)', 'Satellite Radio Ready', 'Rear View Camera', 'CD Audio', 'Auxiliary Audio Input', 'Sunroof(s)', 'Memory Seat(s)', '20 Inch Plus Wheels', 'Heated Steering Wheel', 'Parking Sensors', 'Rear Defroster', 'Bluetooth Technology', 'Side Airbags', 'Overhead Airbags', 'Power Hatch/Deck Lid', 'Air Conditioning', 'Lane Departure Warning', 'Blind Spot Monitor', 'Flex Fuel Vehicle', 'Power Folding Third Row', 'SiriusXM Trial Available', 'Premium Sound']",Silver,Full-size,['Sport Utilities']
